Author,Work,Great Books 1952,Great Books 1990,Suitable for SE,Exists on SE,Exists elsewhere,Additional collections
G. H. Hardy,A Mathematician’s Apology,✗,✔,"No, copyrighted",—,—,—
Werner Heisenberg,Physics and Philosophy,✗,✔,"No, copyrighted",—,—,—
Erwin Schrödinger,What Is Life?,✗,✔,"No, copyrighted",—,—,—
Theodosius Dobzhansky,Genetics and the Origin of Species,✗,✔,"No, copyrighted",—,—,—
C. H. Waddington,The Nature of Life,✗,✔,"No, copyrighted",—,—,—
Thorstein Veblen,The Theory of the Leisure Class,✗,✔,Yes,thorstein-veblen/the-theory-of-the-leisure-class,—,—
R. H. Tawney,The Acquisitive Society,✗,✔,Yes,,https://gutenberg.org/ebooks/33741,
John Maynard Keynes,"The General Theory of Employment, Interest and Money",✗,✔,"No, copyrighted",—,—,—
Sir James George Frazer,The Golden Bough,✗,✔,Yes,,https://gutenberg.org/ebooks/3623,
Max Weber,Essays in Sociology,✗,✔,"No, copyrighted",—,—,—
Johan Huizinga,The Autumn of the Middle Ages,✗,✔,Yes,,,
Claude Lévi‐Strauss,Structural Anthropology,✗,✔,"No, copyrighted",—,—,—
Henry James,The Beast in the Jungle,✗,✔,Yes,,https://gutenberg.org/ebooks/1093,
